Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,418.519886888,1.446488263,415.833597595,1.2799354250000001,99.35814536485364,88.4857110658768,1,291
12,404.666608251,1.3951326709999998,402.234154332,1.242619639,99.39889927426599,89.06820582943685,2,291
19,391.12016989299997,1.3467024049999998,388.92805704200003,1.2036602330000001,99.43952958202088,89.3783384161997,3,291
26,379.190014428,1.304671251,377.06476281799996,1.167840775,99.43952859275423,89.51226403623728,4,291
33,368.33964777299997,1.266667442,366.323233064,1.134908895,99.45256647738269,89.59801581447768,5,291
40,358.103288067,1.2309478169999999,356.211869976,1.103582547,99.47182331075214,89.65307316516409,6,291
47,348.435491607,1.197395211,346.565962592,1.0734444969999999,99.46345046356281,89.64830384643989,7,291
54,338.819512665,1.164178789,337.04026938199996,1.0434325260000001,99.47486988898446,89.6282028034785,8,291
61,329.28615348700004,1.1314673949999998,327.58269986700003,1.013506135,99.48268288782836,89.57448879912269,9,291
68,319.87940647000005,1.099205909,318.21422397,0.983807086,99.47943429107362,89.5016191183885,10,291
75,310.46629835,1.066911377,308.889877576,0.9542702799999999,99.4922409348847,89.44231925647559,11,291
82,300.983772905,1.03467235,299.456748566,0.924149495,99.49265559260499,89.31808170963494,12,291
89,291.556501868,1.002314336,290.097701041,0.894481156,99.49965073059475,89.2415805973267,13,291
96,281.78588269700003,0.969095199,280.356283828,0.8634241300000001,99.4926648363938,89.09590418887217,14,291
103,271.94466511499996,0.935372694,270.563790001,0.832424206,99.49222202486817,88.99385360932934,15,291
110,261.912367699,0.901338471,260.585175526,0.800516193,99.49326861321597,88.81416013585422,16,291
117,251.62134021,0.866388186,250.353876732,0.7678839159999999,99.4962814056462,88.63046939100344,17,291
124,241.271317951,0.831391766,240.029927693,0.734849261,99.48547955532281,88.38784446176487,18,291
