Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,431.351708384,1.479900572,431.552923252,1.334248846,100.04664751850731,90.15800596636299,1,291
12,429.673507346,1.472394052,429.678783138,1.330603582,100.00122786066856,90.37007316027925,2,291
19,427.35371338,1.463401202,427.321095581,1.3249621679999999,99.9923674937227,90.53991251265899,3,291
26,425.113367631,1.455221646,425.054181804,1.319231373,99.98607763681254,90.65501304397172,4,291
33,422.957016867,1.4471469209999999,422.906795118,1.313961468,99.98812603952713,90.7966875327374,5,291
40,420.907934699,1.4398542300000001,420.857603831,1.308329279,99.98804230952881,90.86539815909003,6,291
47,419.019539147,1.4329575350000001,418.95026888399997,1.303270153,99.98346848857192,90.94967025662766,7,291
54,417.244792369,1.42682423,417.174672277,1.298218959,99.98319449558572,90.9866072992046,8,291
61,415.48364264900005,1.420431634,415.446158444,1.293630015,99.99097817551588,91.07302203324485,9,291
68,413.831886768,1.41463943,413.770442521,1.2889022159999999,99.98515236525637,91.11171289775231,10,291
75,412.169695622,1.408702393,412.102313295,1.2842264,99.98365179980097,91.1637835203138,11,291
82,410.631280581,1.403500714,410.498498947,1.279423919,99.96766402359505,91.15947760037977,12,291
89,409.054621977,1.397856064,408.926128563,1.2749322109999999,99.96858771247248,91.20625820027203,13,291
96,407.493430087,1.392440021,407.33681811599996,1.270309089,99.96156699484294,91.22899872467826,14,291
103,405.926592364,1.386985348,405.801058366,1.265772706,99.96907470454968,91.26071214993108,15,291
110,404.275823232,1.380948178,404.19864742100003,1.261300033,99.98091010974068,91.33579761310926,16,291
117,402.701108458,1.37547939,402.658164145,1.256727411,99.98933593374886,91.36650248172748,17,291
124,401.163566996,1.370258247,401.05947660600003,1.2515974619999999,99.97405288052965,91.34026120552149,18,291
131,399.489799553,1.3643186840000001,399.382826915,1.2467792050000002,99.97322268600608,91.384749004874,19,291
138,397.825278438,1.358676716,397.80843979,1.2418929810000001,99.99576732578028,91.40459730966643,20,291
145,396.123534001,1.35278086,396.027255825,1.2364793749999998,99.97569491137587,91.40278455743378,21,291
152,394.340498393,1.3467084740000002,394.1938735,1.230756293,99.96281769344068,91.38995682891945,22,291
159,392.47978779,1.340175121,392.44856943,1.225449494,99.99204586810043,91.4395047928964,23,291
166,390.572854857,1.333601779,390.501529855,1.219340534,99.98173836171331,91.4321316303523,24,291
173,388.626806478,1.3269198530000001,388.548444524,1.213216913,99.97983619434024,91.43106196331813,25,291
180,386.585684433,1.319767801,386.57260777899995,1.207144087,99.99661739828282,91.46639932307305,26,291
187,384.450783191,1.313114978,384.39079669399996,1.199704849,99.98439683319093,91.3632750444493,27,291
194,381.901522565,1.303799999,381.807259855,1.192154424,99.97531753490615,91.43690941205469,28,291
201,379.546543412,1.295742671,379.48081019800003,1.184761072,99.9826811190509,91.43490436150033,29,291
208,377.10172528100003,1.287356422,377.089199431,1.177184726,99.99667838963327,91.4420207086985,30,291
215,374.564386188,1.2786706799999998,374.518089579,1.168983228,99.98763987962892,91.42175904119428,31,291
222,371.84335157,1.269407164,371.80269210600005,1.160355917,99.98906543203522,91.40927748852693,32,291
229,368.96124080799996,1.259523999,368.903007817,1.151091815,99.98421704380861,91.39101882250043,33,291
236,365.937289164,1.2493834270000002,365.91243528300004,1.1415242760000002,99.99320815840967,91.3670096249804,34,291
243,362.75951640600005,1.238723422,362.750383761,1.131283657,99.99748245198623,91.32657354403362,35,291
250,359.23489250800003,1.226488118,359.233636487,1.1202599020000001,99.99965036219304,91.3388304019428,36,291
257,355.71857332999997,1.214727254,355.74371011799997,1.1089738630000001,100.00706648173153,91.29406287281671,37,291
