Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,431.31063978199995,1.479797128,431.303985812,1.333802247,99.99845726736459,90.13412864253105,1,291
12,430.964750175,1.477943905,430.797690682,1.333010755,99.9612359263879,90.19359601472831,2,291
19,430.474314811,1.475852019,430.35154338999996,1.3319785499999999,99.9714799659873,90.25149763338163,3,291
26,429.98404518499996,1.473929086,429.897388097,1.3313520280000002,99.97984644105512,90.32673556996352,4,291
33,429.574626124,1.472259275,429.39841851999995,1.330459651,99.95898090965242,90.36856982952271,5,291
40,429.19171706400004,1.470668293,429.087479718,1.330067639,99.9757131039916,90.43967598477354,6,291
47,429.09334406299996,1.4697901480000002,428.92553975,1.329677486,99.96089328456809,90.46716552082916,7,291
54,428.550042123,1.468326776,428.431420413,1.328749286,99.97232021973154,90.4941125993605,8,291
61,428.241847386,1.4671633880000001,428.099298482,1.328086393,99.96671299059862,90.52068800669934,9,291
68,427.907316637,1.466045898,427.817898799,1.327263164,99.97910345663104,90.53353416906461,10,291
75,427.714579296,1.465232637,427.61189163200004,1.3270856919999998,99.97599154460225,90.57167158910342,11,291
82,427.42883503300004,1.464229011,427.280612333,1.326289892,99.96532225066458,90.57940267787795,12,291
89,427.151263668,1.4632529269999999,427.024667248,1.325646316,99.97036262542855,90.59584242335161,13,291
96,426.93451603999995,1.4624378789999999,426.746195398,1.3250132929999998,99.95589004052736,90.60304796714036,14,291
103,426.672094977,1.461348586,426.604712896,1.3248676739999998,99.98420752568701,90.66061901263576,15,291
110,426.540100409,1.4610772,426.341704583,1.3240466450000001,99.95348718073407,90.62126525552517,16,291
117,426.332974019,1.460135242,426.258246632,1.323978047,99.98247206020788,90.67502851218764,17,291
124,426.14517233099997,1.459701198,425.937794664,1.323065963,99.9513363800731,90.63950655194296,18,291
131,425.94265119899995,1.458698065,425.827797463,1.322914758,99.97303539909032,90.69147274148197,19,291
138,425.760401886,1.45807685,425.616054157,1.322252134,99.966096487987,90.6846668610094,20,291
145,425.602106275,1.457601596,425.430864101,1.3216974099999999,99.95976472590826,90.67617747037647,21,291
152,425.444824752,1.456988805,425.29504566599996,1.321298251,99.96479470961074,90.68691855871879,22,291
159,425.273583341,1.4562914580000001,425.132809622,1.321039941,99.96689808054992,90.71260658318026,23,291
166,425.142207609,1.45587109,424.984393591,1.320585367,99.96287971055906,90.70757542139256,24,291
173,425.00218955,1.455241851,424.879926511,1.320472107,99.97123237432507,90.73901400599563,25,291
180,424.89156524,1.454950269,424.758766478,1.320048304,99.96874525811663,90.72807037640405,26,291
187,424.657290931,1.453958605,424.565859803,1.319547228,99.97846943171528,90.75548804912503,27,291
194,424.613301288,1.453997443,424.446334191,1.319072071,99.9606778458203,90.72038450620575,28,291
201,424.425540718,1.45311325,424.356428452,1.3190281480000001,99.98371628015528,90.77256352868575,29,291
208,424.377017664,1.45310075,424.201926192,1.318604529,99.95874152823735,90.74419161919776,30,291
215,424.249041727,1.4526738689999998,424.113476209,1.318269022,99.96804576919061,90.74776177446337,31,291
222,424.08557733500004,1.451930139,423.934331052,1.317895047,99.96433590504293,90.7684888962829,32,291
229,423.985442964,1.4519514709999999,423.774380471,1.3172922169999999,99.9502194010425,90.72563672481034,33,291
236,423.89490037900003,1.4512621510000001,423.744320625,1.317418623,99.96447710178504,90.77743963020227,34,291
243,423.77480276100005,1.4507646369999998,423.61344547299996,1.317011038,99.96192381261254,90.78047564789105,35,291
250,423.611438823,1.450099105,423.50495212799996,1.3167229550000001,99.97486217669288,90.80227347633596,36,291
257,423.522118865,1.4498889069999998,423.400278412,1.316337664,99.97123161989117,90.78886372912984,37,291
264,423.41710987399995,1.449525641,423.25538043299997,1.315869795,99.96180375397486,90.77933896306979,38,291
271,423.28590369,1.449146794,423.150560065,1.3156058970000002,99.96802548258277,90.78486061226452,39,291
278,423.241546349,1.448946122,423.049210911,1.3153211930000002,99.95455657894195,90.77778483470762,40,291
285,423.096165589,1.448296236,423.010547513,1.315307252,99.97976392060164,90.8175564712301,41,291
292,422.969627181,1.44794768,422.83862219900004,1.314688509,99.96902733114122,90.7966860377165,42,291
299,422.922495666,1.447728096,422.79174924200004,1.314555888,99.96908501549579,90.80129698608819,43,291
