Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,407.561350504,1.4089381669999999,407.754192283,1.23562079,100.04731601236514,87.69872368714107,1,288
12,408.169910206,1.408341638,408.07451807399997,1.2421705299999999,99.97662930813497,88.20093764777263,2,288
19,405.126917852,1.396513155,404.919287252,1.2367132299999999,99.94874924601385,88.55722021465668,3,288
26,400.252267863,1.37858057,400.032528919,1.226032403,99.94509988783494,88.93440323186914,4,288
33,394.311709257,1.357294785,394.150839907,1.210424682,99.95920249228632,89.17920376449395,5,288
40,387.59584758,1.333475871,387.421213373,1.192208262,99.95494425234678,89.40606185141839,6,288
47,380.41161487299996,1.308081362,380.207904432,1.172024112,99.94644999441778,89.598716566684,7,288
54,372.835996092,1.281621417,372.66269414699997,1.1501947909999999,99.95351791489647,89.74528481993993,8,288
61,364.841042422,1.253639376,364.67177227300004,1.12667397,99.9536044114236,89.8722544592441,9,288
68,356.55643012499996,1.224912199,356.363823002,1.101460538,99.94598130710125,89.92159102499068,10,288
75,344.436842371,1.183402454,345.271505692,1.067075402,100.24232695760837,90.17011908275119,11,288
82,338.99008014,1.1640882780000001,338.954006425,1.0479121470000001,99.98935847474206,90.01998961800388,12,288
89,330.698849452,1.135630001,330.62992815499996,1.021877379,99.97915889422832,89.98330249290412,13,288
96,321.363557895,1.103460648,321.30871940199995,0.992622566,99.98293568400871,89.95541144118808,14,288
103,311.490587771,1.069768548,311.41527761099996,0.961309663,99.97582265308917,89.86146253759554,15,288
110,301.127512901,1.034388063,301.038951977,0.928484916,99.97059022500243,89.7617585905958,16,288
