Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,412.081369154,1.4201976559999998,412.097674427,1.25713627,100.0039568090723,88.51840197657671,1,288
12,416.659300689,1.434467777,416.23725877699997,1.272208807,99.89870815044758,88.68855943635462,2,288
19,418.319803382,1.439372791,417.837190409,1.2791759089999999,99.88463061774792,88.8703688855544,3,288
26,419.15258296,1.441421174,418.642780366,1.283271252,99.87837302817036,89.02819489177284,4,288
33,419.400290719,1.442162567,418.989386769,1.285772591,99.90202583090834,89.15587052537884,5,288
40,419.608968445,1.442770498,419.197993112,1.287622806,99.90205754311616,89.24654390874576,6,288
47,419.734317286,1.442903983,419.233791654,1.288499031,99.88075179669931,89.29901408415476,7,288
54,419.74606482300004,1.4425143610000002,419.242498016,1.2893704320000001,99.88003060678786,89.383542158025,8,288
61,419.579262308,1.442156162,419.12071324,1.289515434,99.8907121706927,89.41579753829737,9,288
68,413.31675400800003,1.4209586760000001,415.195665105,1.279124267,100.45459349972626,90.01840015507952,10,288
75,417.628659744,1.435116582,417.300912981,1.285690728,99.92152196566182,89.58789440006623,11,288
82,418.04250053400006,1.436579271,417.66105791300004,1.28691669,99.90875506186266,89.58201722513925,12,288
89,418.105707853,1.4367481899999999,417.726347466,1.28726966,99.90926687201951,89.59605231867388,13,288
96,418.107491038,1.436806595,417.701503883,1.287620173,99.90289885646581,89.61680559379671,14,288
103,417.97481235699996,1.436351985,417.56088437,1.2872854200000001,99.9009681983788,89.62186382190993,15,288
110,417.852208021,1.435921495,417.40303191699996,1.287022952,99.89250359448204,89.63045378744748,16,288
117,417.743419671,1.435479569,417.29957045699996,1.2869893979999998,99.89375075869546,89.65570989607026,17,288
