Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,430.018034,1.478672815,430.1366596,1.32559715,100.0275862,89.64776633,1,291
12,427.5503613,1.468413865,427.4830047,1.319686822,99.98424593,89.87158549,2,291
19,424.3786762,1.456773635,424.2818632,1.311559247,99.97718712,90.03178088,3,291
26,421.2609992,1.445180942,421.2113129,1.303878797,99.98820534,90.22252917,4,291
33,418.137808,1.433766356,418.0191613,1.295747263,99.97162499,90.37366915,5,291
40,415.250706,1.423209553,415.1558902,1.288219316,99.9771666,90.51508355,6,291
47,412.6020036,1.413987083,412.4889679,1.280836424,99.97260417,90.58331857,7,291
54,410.111302,1.404994215,409.9810179,1.273994379,99.96823201,90.67612987,8,291
61,407.6261094,1.396008545,407.4982426,1.267146289,99.96863135,90.76923587,9,291
68,405.1310259,1.387594763,405.0413296,1.260090231,99.97785991,90.81111176,10,291
75,402.911182,1.379506775,402.7996018,1.25370986,99.97230652,90.88102231,11,291
82,400.6281709,1.371369073,400.5703539,1.247375844,99.9855684,90.95843479,12,291
89,398.5726787,1.364253613,398.430208,1.241119221,99.96425478,90.9742301,13,291
96,396.3511562,1.356382529,396.2503859,1.234671402,99.97457549,91.02678452,14,291
103,394.157736,1.34855368,394.1621789,1.228526961,100.0011272,91.0995965,15,291
110,392.0511205,1.341301089,392.0230834,1.222069354,99.9928486,91.11074046,16,291
117,389.8944241,1.333744735,389.78787,1.215371686,99.97267103,91.12475979,17,291
124,387.7224977,1.326495897,387.5636293,1.208535844,99.95902523,91.10739405,18,291
131,385.6069608,1.318790354,385.5407452,1.202460912,99.98282821,91.17908001,19,291
138,383.3119165,1.310880407,383.2379529,1.195414203,99.98070407,91.19170571,20,291
145,381.0661379,1.303154503,381.020451,1.188553242,99.98801076,91.20585773,21,291
152,378.6355796,1.294731569,378.5573136,1.180772296,99.97932947,91.19823169,22,291
159,376.0050235,1.285492196,375.9475607,1.172812302,99.98471753,91.23449412,23,291
166,373.4016739,1.276507917,373.3594137,1.164691061,99.98868237,91.2404103,24,291
173,370.7811132,1.267535655,370.7587876,1.156593034,99.99397878,91.24737671,25,291
180,368.1101347,1.258167586,368.0678446,1.14816672,99.98851157,91.25705771,26,291
187,365.1996668,1.2482118,365.1550272,1.139009848,99.98777667,91.25132834,27,291
194,362.1233014,1.237570464,362.1112958,1.129361359,99.99668467,91.25632777,28,291
201,358.9807399,1.226884768,358.9692214,1.119425445,99.99679131,91.2412864,29,291
208,355.6507215,1.215382212,355.5986966,1.108776339,99.98537191,91.22861336,30,291
215,352.2809309,1.203946877,352.2097579,1.09801045,99.9797965,91.2009052,31,291
222,348.6654177,1.19153333,348.5882068,1.086485337,99.97785528,91.18379735,32,291
229,344.9687602,1.179134402,344.9161697,1.074772758,99.98475498,91.14930038,33,291
236,341.0540687,1.165511639,341.0747456,1.062612661,100.0060627,91.17134702,34,291
243,337.1169284,1.15219548,337.0672864,1.049798748,99.98527456,91.11290282,35,291
250,333.0140708,1.138185996,332.9239901,1.036518496,99.97294988,91.0675847,36,291
257,328.6735339,1.123333737,328.6255556,1.022848065,99.98540245,91.05469117,37,291
264,324.1093007,1.107801749,324.0860185,1.00823992,99.99281656,91.01266729,38,291
271,319.3810263,1.091905081,319.3068637,0.992845235,99.97677928,90.92779696,39,291
278,314.2691209,1.074481724,314.2151995,0.976597905,99.98284226,90.89013644,40,291
285,308.9146499,1.056382169,308.8456017,0.959303646,99.97764812,90.81028383,41,291
292,303.3144536,1.037420368,303.3197248,0.941579966,100.0017379,90.76166181,42,291
299,297.3554898,1.017427315,297.2904789,0.922143039,99.97813696,90.63478299,43,291
306,290.9313118,0.995644214,290.8444636,0.901439414,99.97014824,90.53830689,44,291
313,284.2479516,0.972990931,284.1673762,0.88002145,99.97165314,90.4449797,45,291
320,277.1821268,0.94922996,277.127468,0.857355001,99.98028056,90.32110628,46,291
327,269.7297928,0.923973985,269.6829183,0.833391267,99.98262166,90.19639952,47,291
334,261.8804094,0.897619152,261.8016174,0.807967768,99.96991299,90.01231382,48,291
