Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,419.219340322,1.4468527789999999,419.49062533,1.274011004,100.06471194954689,88.0539487148471,1,288
12,424.428471694,1.463420427,424.369159389,1.29215774,99.98602537083262,88.29709604702681,2,288
19,426.41701836100003,1.4695388550000001,426.30475946399997,1.300698789,99.97367391727667,88.51067697696226,3,288
26,427.377381801,1.4723989510000002,427.239225039,1.305429416,99.96767335664377,88.66003436863355,4,288
33,427.960775548,1.474093897,427.816316043,1.308823621,99.9662446856689,88.78834812786693,5,288
40,428.35670817899995,1.475271723,428.186471373,1.311305625,99.9602581673756,88.88570183758615,6,288
47,428.60371805200003,1.47596727,428.464771831,1.313209699,99.96758165756668,88.97281976991265,7,288
54,428.70623049200003,1.476194365,428.634310416,1.314547715,99.98322392564309,89.04977191130247,8,288
61,426.441459077,1.4680711210000001,426.751441451,1.31020932,100.07269048714704,89.24699227838022,9,288
68,427.898046555,1.472798527,427.679119471,1.313692779,99.94883662457387,89.19704595820797,10,288
75,428.267399451,1.47422956,428.19343479199995,1.3156424139999998,99.98272932772961,89.24271020586508,11,288
82,428.54622459800004,1.475212205,428.41951206,1.3167096079999998,99.97043200226092,89.25560699248688,12,288
89,428.700608388,1.4758113769999999,428.563994463,1.317633479,99.96813302283061,89.28197055090192,13,288
96,428.798958295,1.476147952,428.704404815,1.318278399,99.9779492281474,89.30530284677046,14,288
103,428.855437658,1.476221981,428.744940849,1.318902587,99.97423448572707,89.34310720035269,15,288
