Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,393.500941609,1.369458452,394.66930133200003,1.176454255,100.29691408570021,85.90653139435295,1,285
12,373.71744766,1.2957143329999998,374.305220171,1.12876358,100.15727724640107,87.11515735004222,2,285
19,346.757265944,1.198912909,347.293479167,1.0576628989999999,100.15463647792362,88.21849285801626,3,285
26,319.907536444,1.1041993270000001,320.382830452,0.980927397,100.14857230726204,88.8360799553358,4,285
33,293.532400681,1.0125275299999998,293.976432166,0.900969291,100.15127171105125,88.98220189627834,5,285
40,267.2154944,0.921492879,267.54880687,0.819232086,100.12473545770555,88.90270393505666,6,285
