Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,412.738222188,1.418619973,412.550434821,1.27481267,99.9545020652547,89.86287337433392,1,291
12,392.897190057,1.347605652,392.713850274,1.21871362,99.95333644840437,90.43547852380186,2,291
19,369.627268502,1.2655310530000001,369.44920928,1.148159622,99.95182735767261,90.72551947881756,3,291
26,348.482807723,1.19212189,348.282337914,1.082211434,99.94247354401502,90.78026694065655,4,291
33,329.398351181,1.1261750529999999,329.259954457,1.0222962649999998,99.9579849979504,90.7759643828658,5,291
40,311.855591006,1.065921463,311.74552055000004,0.9667151850000001,99.96470467127271,90.69290923922414,6,291
