Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,398.532574094,1.383555979,398.81137262600004,1.198175529,100.069956272115,86.6011601399758,1,285
12,401.41803189800004,1.3916132540000001,401.248331775,1.209693849,99.95772483807026,86.92744521675847,2,285
19,400.409623312,1.387154981,400.25057628599995,1.210033466,99.96027892020064,87.23131031311924,3,285
26,398.27881318699997,1.379117859,398.19130189000003,1.206336678,99.97802762936354,87.47161601363905,4,285
33,395.667665784,1.369637601,395.50569567800005,1.200521541,99.95906410353774,87.65249582250627,5,285
40,392.526318431,1.3585980489999998,392.464241401,1.192992881,99.9841852566095,87.81058399709214,6,285
47,389.177024512,1.346849374,389.032523844,1.1842692369999999,99.96287019559257,87.92885528712432,7,285
54,385.600070648,1.334320745,385.518792624,1.174843451,99.97892167813575,88.04805406813936,8,285
61,381.71893962,1.32082632,381.620713963,1.164203957,99.9742675443095,88.14209251977958,9,285
68,377.70127552400004,1.307105108,377.605009206,1.1525270829999998,99.97451257799791,88.17401721912633,10,285
75,373.446264543,1.292454752,373.373855324,1.140469819,99.98061053868389,88.24059931190534,11,285
82,368.991605575,1.277092105,368.934573234,1.127224798,99.98454372941328,88.26495705256906,12,285
89,364.376355358,1.261360689,364.253003935,1.11293288,99.96614724825412,88.23272278148508,13,285
96,359.553866003,1.244607503,359.448938605,1.098393999,99.97081733561471,88.25223987099811,14,285
103,354.583310089,1.2279671520000002,354.44726277399997,1.082681834,99.96163177703826,88.16863156613165,15,285
110,349.213413907,1.209659426,349.133116288,1.0659317860000002,99.97700614701432,88.11833835947806,16,285
117,343.79018066199995,1.191381366,343.68273089300004,1.048706581,99.96874553869077,88.02442365881355,17,285
124,338.214956531,1.1725868469999998,338.07982203200004,1.030722059,99.96004478915243,87.90155387100296,18,285
131,332.44396508,1.153010957,332.332795304,1.012261424,99.96655984536424,87.7928711652304,19,285
138,326.45890756,1.132819777,326.329253824,0.993089413,99.96028482207177,87.66526089701205,20,285
145,320.311304155,1.1120902350000001,320.20586034300004,0.973342212,99.96708083335425,87.52367221352321,21,285
