Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,402.79904697,1.390195348,402.816897401,1.225687936,100.0044315971287,88.16659743275159,1,288
12,404.48244435199996,1.394019787,404.283654489,1.234032512,99.95085327786761,88.5233139090299,2,288
19,403.062773751,1.388294796,402.85613811,1.232891692,99.94873363295821,88.80618839401022,3,288
26,400.68560077800004,1.379341404,400.46084407,1.227994635,99.94390696656839,89.02760632276357,4,288
33,397.764706026,1.3689659269999999,397.52471771,1.220941658,99.93966575908716,89.18714731458763,5,288
40,394.76258580800004,1.358377822,394.50034776900003,1.213171164,99.93357069579852,89.31028940194226,6,288
47,391.50109357499997,1.346798864,391.317745785,1.204839381,99.9531680005474,89.45948895602871,7,288
54,388.300287751,1.335552096,388.084828641,1.19593702,99.94451224560046,89.54626506759644,8,288
61,384.987625447,1.324019636,384.78226232599997,1.186397247,99.9466572150828,89.605713898944,9,288
68,381.688106884,1.312481816,381.45863538099997,1.1768494010000001,99.93987983936063,89.66595854155437,10,288
75,378.58461526,1.3016969330000001,378.348834159,1.167854449,99.93772036910742,89.71784594348429,11,288
82,375.733233835,1.291610295,375.63604366299995,1.1595742910000002,99.97413319790532,89.77741161470072,12,288
89,372.845973579,1.281690245,372.681079551,1.150924843,99.95577422322222,89.79742550822021,13,288
96,369.761234229,1.271057204,369.56433356,1.1413030709999998,99.94674923957062,89.7916370253309,14,288
