Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,411.550439755,1.424477392,412.120833675,1.244112949,100.1385963577975,87.33820248654392,1,288
12,417.820280438,1.444498486,417.73849123499997,1.264103061,99.98042478864015,87.51155319660195,2,288
19,419.73835734100004,1.449856477,419.670793865,1.273106985,99.98390343059708,87.80917319721709,3,288
26,420.60296935900004,1.451976924,420.572136132,1.278225387,99.99266927976115,88.03345052335006,4,288
33,421.134835718,1.453243849,421.026563879,1.281529318,99.97429045763565,88.18405244803483,5,288
40,421.333603561,1.453334378,421.331198654,1.284067224,99.99942921547684,88.3531858488797,6,288
47,421.437647202,1.453313305,421.43481615300004,1.285704431,99.99932824012787,88.46712037773577,7,288
54,421.478348104,1.4531736450000001,421.407629697,1.286493499,99.98322134284759,88.52992231358559,8,288
61,421.421467344,1.452679031,421.395207614,1.2875835180000001,99.99376877258639,88.63510042639284,9,288
68,424.119362922,1.4626393580000001,423.994562499,1.2959154869999998,99.97057422180865,88.60116336347075,10,288
75,423.65567811299996,1.460551671,423.457607519,1.295125214,99.95324727031107,88.67370047327823,11,288
82,423.199546945,1.458634038,423.078589127,1.294818406,99.97141825437356,88.76924384511038,12,288
89,422.734054788,1.456699711,422.637293999,1.294090065,99.97711071821539,88.83711963611421,13,288
96,422.41987597400004,1.45550869,422.312405699,1.293722198,99.97455842371237,88.88453960381369,14,288
103,422.03035065,1.453978603,421.96790891700005,1.293211188,99.98520444491639,88.94293116361631,15,288
