Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,401.58204436299997,1.386060193,401.80522523,1.22110974,100.05557540984036,88.09932975255714,1,288
12,343.675842486,1.1795453969999998,343.719224726,1.0613231159999998,100.01262301117417,89.97730131449956,2,288
19,281.94283550200004,0.965091533,282.008284473,0.8708588979999999,100.02321356060828,90.2358862576406,3,288
26,228.071059955,0.779731389,228.175394248,0.700890284,100.04574639720644,89.88868396062479,4,288
33,196.47905161900002,0.677129012,196.557223701,0.59706771,100.03978647156318,88.17635921941564,5,288
