Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,405.10076853099997,1.397189318,406.174344033,1.237280239,100.26501443230855,88.55494549379314,1,288
12,389.229177541,1.338568582,389.91904483,1.197635696,100.17723935634999,89.47137353325391,2,288
19,363.914595959,1.249155604,364.496844217,1.125570784,100.15999585190191,90.10653119561236,3,288
26,335.904638651,1.151629844,336.438530683,1.0406492950000001,100.15894154785838,90.36317532250408,4,288
33,307.27017067199995,1.052702734,307.77929945700004,0.951545493,100.16569417847707,90.39071166694625,5,288
40,275.51154611100003,0.942399959,275.97473678299997,0.852326354,100.16812023980053,90.44210431677237,6,288
47,254.958236383,0.870330272,255.378992999,0.787268306,100.16502962287828,90.4562706052812,7,288
54,230.739573237,0.7884555639999999,231.148262521,0.710148588,100.17712145266916,90.06830827564558,8,288
61,209.401475876,0.718543921,209.729565538,0.639899539,100.15667972760338,89.05503481394005,9,288
68,186.46898191800003,0.6443419749999999,186.536487279,0.562264875,100.03620192500952,87.2618728587409,10,288
75,2.0777e-05,4.16e-07,0.000104905,1e-09,504.90927467873126,0.2403846153846154,11,288
82,1.9081e-05,3.82e-07,0.00010532900000000001,0.0,552.0098527330854,0.0,12,288
89,2.0353e-05,4.07e-07,0.00010172600000000001,0.0,499.8083820566993,0.0,13,288
96,1.2512e-05,2.5e-07,8.773900000000001e-05,0.0,701.238810741688,0.0,14,288
103,2.1201e-05,4.24e-07,0.0001066,0.0,502.8064713928589,0.0,15,288
110,2.0353e-05,4.07e-07,8.2865e-05,0.0,407.13899670810196,0.0,16,288
117,1.3571e-05,2.71e-07,8.922200000000001e-05,0.0,657.4460246113036,0.0,17,288
124,1.6962e-05,3.39e-07,0.000118681,0.0,699.6875368470699,0.0,18,288
