Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,406.51895140000005,1.40617602,406.41019421299995,1.220255863,99.97324671171526,86.77831549139916,1,285
12,411.44481067699996,1.421406428,410.98924309,1.238069236,99.88927613736327,87.1017051570559,2,285
19,413.871602401,1.428384827,413.31122808,1.2487691060000001,99.86460189156513,87.42525700323756,3,285
26,415.425906118,1.4326426630000002,414.765609855,1.256172496,99.84105558818653,87.68219238770497,4,285
33,416.430193289,1.4355111479999998,415.767235421,1.260982224,99.84079975979554,87.84203631973467,5,285
40,417.180906457,1.4376337160000001,416.524444721,1.265161621,99.84264338903351,88.00305717092684,6,285
47,417.84099671399997,1.439391715,417.093496295,1.26849824,99.82110409823869,88.12738233664211,7,285
54,418.242596799,1.4404078839999999,417.600478809,1.271152896,99.84647235960314,88.24950974789306,8,285
61,418.6257748,1.441423344,417.97535040400004,1.273259399,99.8446286790844,88.33347984129777,9,285
68,418.8517126,1.442095915,418.216633074,1.274869584,99.84837604648725,88.40393837465382,10,285
75,419.177318727,1.442697654,418.462031664,1.276882269,99.8293593114312,88.50657415708253,11,285
82,419.35740274299997,1.443242394,418.622197792,1.2780470339999999,99.82468296822925,88.55387281535188,12,285
89,419.442802191,1.4435109940000002,418.766493678,1.278796606,99.8387602530149,88.58932223691812,13,285
96,419.48080881399994,1.443423741,418.866685914,1.279846034,99.85359928580851,88.66738142420509,14,285
103,419.462142369,1.443188193,418.738297579,1.280323962,99.82743501334545,88.71496927497383,15,285
110,419.518734478,1.4431722489999999,418.797509586,1.280918798,99.8280827927989,88.757166643661,16,285
117,419.438541111,1.4428589429999998,418.732873437,1.281251624,99.83175898139193,88.79950671657583,17,285
124,419.275414323,1.442135338,418.582768751,1.281344318,99.83479938285473,88.85049025821736,18,285
131,419.191732576,1.4416615910000001,418.409469502,1.281362572,99.81338776192152,88.88095375497868,19,285
