Index,SOC_Ah,C-rate,SOC [%],Capacity Fade (mAh/cycle)
1,0.3,6.88,75,-2.920625021
2,0.1,2.36,25,-0.049166888
3,0.11,6.52,27.5,-0.060666633
4,0.29,7.92,72.5,-6.235667818
5,0.15,5.32,37.5,-0.028908875
6,0.09,3.06,22.5,-0.056090543
7,0.18,4.52,45,-0.044645122
8,0.25,5.1,62.5,-0.054169227
9,0.25,2.02,62.5,-0.044645988
10,0.3,2.82,75,-0.044762673
11,0.27,2.2,67.5,-0.047809619
12,0.31,6.32,77.5,-2.411460263
13,0.08,6.09,20,-0.026452597
14,0.12,7.46,30,-0.458643509
15,0.32,4.19,80,-0.684680041
16,0.1,7.32,25,-0.141905731
