Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,387.19979961499996,1.3504339730000001,387.6523216,1.158101286,100.11687040784886,85.75771264308972,1,285
12,392.14246946500003,1.3655946529999998,392.038330665,1.174972133,99.97344363130519,86.0410613368153,2,285
19,393.259843375,1.368397149,393.015360031,1.18058642,99.93783160215347,86.27513005729011,3,285
26,393.225451449,1.367486951,392.981971081,1.183069447,99.93808122869392,86.51413062002959,4,285
33,392.710973384,1.365224088,392.426441465,1.1831275490000002,99.92754673582247,86.66178390781516,5,285
40,391.91541903999996,1.362181769,391.63473247499996,1.182303265,99.92838083133154,86.79482370902294,6,285
47,390.929067577,1.358404794,390.608964915,1.180594122,99.91811745696373,86.91033241450708,7,285
54,389.77845613500006,1.354201106,389.413301698,1.178222607,99.9063174397526,87.00499517979273,8,285
61,388.585156301,1.349886241,388.24293940300004,1.175650482,99.91193258608806,87.09255982408372,9,285
68,387.264254171,1.345254223,386.86140580399996,1.172148218,99.89597584526297,87.1320972615895,10,285
75,385.924182256,1.3404612150000002,385.529373103,1.169204855,99.89769774190049,87.2240719773455,11,285
82,384.469041208,1.335396598,384.048871594,1.1653837299999998,99.89071431793836,87.26873587557243,12,285
89,382.89786461899996,1.329909367,382.466156035,1.161024522,99.88725228738751,87.30102598036667,13,285
96,381.328985996,1.324266717,380.874341439,1.156801105,99.88077366953564,87.35408737150946,14,285
103,379.833426978,1.319007849,379.371515123,1.152870145,99.87839094134631,87.4043430351111,15,285
110,378.242805734,1.313500464,377.793439571,1.1483858120000001,99.8811963754002,87.42941806832891,16,285
117,376.611574083,1.307715736,376.175900581,1.143725601,99.88431754837572,87.45980257899107,17,285
124,375.224017575,1.302881837,374.68508925799995,1.13954957,99.85637158290585,87.4637697478317,18,285
131,373.621041396,1.297258594,373.16486998,1.135208267,99.87790531970695,87.50824795075515,19,285
138,372.15459892300004,1.291982671,371.663221992,1.1308559569999999,99.86796429966954,87.52872483380236,20,285
