Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,400.61233411800004,1.3954121210000001,401.35695420599995,1.196538512,100.1858704849014,85.74803772970809,1,285
12,401.52730727399995,1.395596866,401.612741255,1.204475708,100.02127725299187,86.30541794294915,2,285
19,397.815505203,1.380699385,397.87646675999997,1.1992179570000001,100.01532407766985,86.85583335723729,3,285
26,391.58666637199997,1.3577302089999999,391.63354150299995,1.185025974,100.01197056361349,87.27992985239678,4,285
33,383.072288382,1.327157405,383.096797096,1.1631582489999999,100.00639793447432,87.64282553206264,5,285
40,372.948674412,1.291332339,372.948924119,1.135670095,100.00006695478953,87.94560940675086,6,285
47,361.74201382900003,1.2517442680000002,361.765195788,1.104355975,100.00640842316176,88.22536705236983,7,285
54,350.001780206,1.210708097,349.983701808,1.07001182,99.9948347697005,88.3790091642544,8,285
61,337.761732644,1.168027999,337.718456544,1.033295461,99.9871873880853,88.4649564808934,9,285
