Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,424.218012299,1.4621965670000001,424.313331033,1.304578144,100.02246928023717,89.22043543547726,1,291
12,424.182805497,1.461040911,424.2206813,1.305344432,100.00892912265871,89.34345521553982,2,291
19,423.885393379,1.459409234,423.82871776,1.304749015,99.9866294946971,89.40254622234356,3,291
26,423.37749492,1.457162642,423.287152853,1.304022339,99.97866158024836,89.49051405889668,4,291
33,422.792350413,1.454657343,422.70619338,1.303126636,99.97962190353826,89.583065198881,5,291
40,422.21094013100003,1.4523492029999998,422.17502302800006,1.302232088,99.9914930903996,89.66384154100714,6,291
47,422.0622541,1.451838613,421.93885916700003,1.301999596,99.97076380751861,89.6793613519907,7,291
54,421.271156877,1.4487873770000002,421.149338518,1.300211156,99.97108314751404,89.74478771980631,8,291
61,420.620920984,1.446310239,420.502171613,1.2987206990000002,99.9717680778402,89.79544388055737,9,291
68,420.20086871,1.444938913,420.035643981,1.29781337,99.96067958414574,89.81787107563349,10,291
75,419.525995222,1.4422999859999999,419.44288268900004,1.296240498,99.98018894324868,89.87315472386062,11,291
82,419.048216796,1.4404568969999998,418.984433855,1.295282987,99.98477909260951,89.92167621937529,12,291
89,418.607465662,1.438849639,418.553921109,1.29431058,99.98720888722916,89.95454041323912,13,291
96,418.202318488,1.437439336,418.1500966,1.2932331099999999,99.98751276937229,89.96783917147512,14,291
103,417.792501841,1.435861167,417.702744249,1.292244861,99.97851622716911,89.99789747778587,15,291
110,417.40983693,1.4345358160000001,417.294262357,1.2912566870000002,99.9723114879491,90.01216090933767,16,291
117,417.03277653199996,1.433336577,416.951150099,1.290068618,99.98042685429219,90.00458361985973,17,291
124,416.637093553,1.4316506740000001,416.588094738,1.2894871229999998,99.98823944968937,90.06995536119166,18,291
131,416.320275776,1.430543613,416.244909367,1.288540536,99.98189701213578,90.07348844805894,19,291
138,415.91950963799997,1.429133301,415.86591467,1.287377558,99.98711410098396,90.08099923913255,20,291
145,415.617106547,1.4280956189999998,415.509406276,1.286350881,99.97408666070201,90.07456250728826,21,291
152,415.31553104600005,1.4269846560000001,415.255752792,1.2858274710000002,99.98560654501664,90.1080096126836,22,291
159,414.970773997,1.425664591,414.900938144,1.284891265,99.98317089844008,90.1257752427408,23,291
166,414.695442739,1.4247117950000001,414.659673926,1.284365104,99.9913746790262,90.14911707107751,24,291
173,414.364722722,1.423432292,414.36082831,1.283460497,99.99906014875629,90.16659971909644,25,291
180,414.064101547,1.422468032,414.02683353400005,1.282475544,99.99099945808855,90.15847914675666,26,291
187,413.760890787,1.421403126,413.661282474,1.2814742989999999,99.97592611693906,90.1555846866767,27,291
194,413.57203601699996,1.420855258,413.489893129,1.280999668,99.98013819096884,90.15694320638534,28,291
201,413.293013351,1.419827338,413.225936423,1.280222585,99.98377012777058,90.16748380147051,29,291
208,413.007331181,1.418711588,412.917018156,1.279525253,99.97813282763244,90.18924380562683,30,291
215,412.762509709,1.417948537,412.68950104600003,1.2788371170000001,99.98231218647948,90.18924760877977,31,291
222,412.49883973699997,1.416923787,412.419774728,1.278101098,99.98083267117785,90.20252957331431,32,291
229,412.25744179500003,1.416012322,412.166694739,1.277450035,99.97798777006791,90.21461290645463,33,291
236,412.010076089,1.4151775949999998,411.93979032,1.2767647629999999,99.98294076453973,90.21940196841514,34,291
243,411.772137493,1.414281975,411.742446021,1.276300507,99.99278934408218,90.24370879081593,35,291
250,411.534651581,1.413484949,411.487056617,1.2753757090000002,99.98843476149162,90.22916797963019,36,291
257,411.321014249,1.4127415380000001,411.254305241,1.274812942,99.98378176516904,90.23681315442428,37,291
264,411.142698799,1.412175204,411.087931883,1.2742780710000001,99.98667934122143,90.23512574010613,38,291
271,410.90401251000003,1.411285289,410.848955886,1.273590739,99.98660109847462,90.24332280133333,39,291
278,410.660577488,1.410488571,410.606783973,1.272856286,99.98690073555903,90.24222614562397,40,291
285,410.389784098,1.4095173619999999,410.39708453,1.2722525969999998,100.00177890198121,90.26157685597916,41,291
292,410.226848894,1.408922718,410.215497714,1.271817738,99.99723295049297,90.26880763235731,42,291
299,410.030277933,1.408289423,410.02110964,1.271219053,99.99776399610141,90.26688919469362,43,291
