Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,410.726963267,1.436343966,410.96162329000003,1.2218014130000001,100.05713285077111,85.06328859392445,1,285
12,415.816202385,1.45133215,415.365298557,1.240409751,99.89156174641253,85.46697949191025,2,285
19,416.431636272,1.4513681920000001,415.930903911,1.247064091,99.87975640720222,85.92334446034214,3,285
26,415.950060053,1.448535283,415.509321473,1.249087356,99.89404050574151,86.23106186361358,4,285
33,414.877235716,1.443833103,414.47699875399996,1.248478489,99.90352882068613,86.46972329460436,5,285
40,413.479406284,1.438418569,413.115414073,1.24656209,99.91196847884851,86.66198538208666,6,285
47,411.863965607,1.432316108,411.467057659,1.2434782549999999,99.90363130034572,86.8159094249326,7,285
54,410.024684394,1.42553287,409.65154182000003,1.239578988,99.90899509512423,86.95548268908033,8,285
61,408.03280702700005,1.418391959,407.663525901,1.235057547,99.90949719737226,87.0744887661902,9,285
68,405.945483206,1.410807905,405.511981362,1.2298810640000002,99.89321180751257,87.17565726993854,10,285
75,403.681662512,1.402800672,403.302562729,1.224309188,99.90608942188729,87.27606226866708,11,285
82,401.332648154,1.394412519,400.959803125,1.2180598919999999,99.90709825609379,87.35290851186053,12,285
89,398.801696234,1.385769275,398.36950148100004,1.211054037,99.89162665127022,87.39218417149566,13,285
96,396.091543631,1.376429066,395.707544525,1.203643335,99.90305294011586,87.4468118068643,14,285
103,393.269911787,1.366580685,392.81423494,1.195582375,99.88413127133742,87.48714130991834,15,285
110,390.331056536,1.356206216,389.969145765,1.187807367,99.9072810720695,87.58309414797728,16,285
117,387.268715951,1.345597142,386.876937145,1.178612575,99.89883541069463,87.5903001137617,17,285
124,383.99770717900003,1.334164248,383.613579097,1.169390802,99.89996604802097,87.64968809147702,18,285
131,380.65992895000005,1.3225018099999999,380.30752863,1.159906584,99.90742384653618,87.70548177926503,19,285
138,377.224088401,1.31064358,376.881161406,1.1497423530000002,99.90909196799875,87.72349481923987,20,285
