Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,404.903841302,1.400397825,402.839328009,1.224883265,99.49012257172927,87.46680715531674,1,288
12,408.519193447,1.4110871109999998,406.202216093,1.2392973870000001,99.43283512961781,87.82571801125326,2,288
19,409.454385222,1.4136424890000001,407.116253661,1.24416346,99.42896409334281,88.01118172955537,3,288
26,409.689070893,1.414083471,407.323535066,1.24688381,99.42260216465041,88.17611092775441,4,288
33,409.546774576,1.412966197,407.264021791,1.248825529,99.44261487900538,88.38325585222758,5,288
40,409.229179854,1.411856581,406.910657845,1.248466379,99.43344166957323,88.42728049018457,6,288
47,408.787506398,1.4100847429999999,406.56754014399996,1.249591399,99.45693882047397,88.61817739701621,7,288
54,408.559295853,1.4097930109999999,406.298275862,1.248202217,99.44658706485203,88.53797736694838,8,288
61,407.9872279,1.4078836099999998,405.785447913,1.247137909,99.46033114851829,88.58245810532593,9,288
68,404.634608791,1.396706949,403.025502845,1.239644459,99.6023311128013,88.7547999877532,10,288
75,405.84449793299996,1.4003885459999998,403.67800833900003,1.242750379,99.46617741400117,88.74325504516088,11,288
82,405.520109346,1.399598135,403.295140829,1.241574447,99.45132967127368,88.70935277432334,12,288
89,405.06783659,1.398673632,402.875715668,1.239614331,99.45882622020696,88.6278473147051,13,288
96,404.477806229,1.396781476,402.22795959,1.237681607,99.44376512027307,88.6095375881116,14,288
103,403.915656642,1.3947746920000001,401.676557879,1.236382631,99.44565190128675,88.64389625733185,15,288
110,403.276358928,1.392547417,401.026599635,1.2346519219999998,99.4421296356225,88.66139184400927,16,288
