Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,407.318328315,1.408282642,407.82437002200004,1.2364134199999999,100.12423740151677,87.79582898530107,1,288
12,412.91426593799997,1.42595283,412.963452744,1.255232536,100.01191211107428,88.02763384536361,2,288
19,414.732998128,1.431102198,414.64358030799997,1.263158065,99.97843966590465,88.26470022653126,3,288
26,415.546780011,1.4331041100000002,415.49390738,1.268002163,99.98727637090616,88.47941710250205,4,288
33,415.934303438,1.4338871610000001,415.856260251,1.27105051,99.98123665531914,88.64369139853117,5,288
40,416.020688791,1.433825808,415.914241396,1.272616399,99.97441295640624,88.75669498341182,6,288
47,415.95834317900005,1.4333927480000002,415.864336366,1.273580799,99.97739994532105,88.85079129757115,7,288
54,415.79259904699995,1.432370973,415.700043144,1.274324607,99.97773988685414,88.96610103254305,8,288
61,415.557741287,1.43147166,415.451614631,1.2744601949999999,99.97446163421927,89.03146535223756,9,288
68,412.430145284,1.420124081,413.045268793,1.2689361540000001,100.1491461077794,89.35389315463627,10,288
75,413.721267528,1.4239871240000002,413.659145619,1.2717366300000001,99.98498459859915,89.30815514873996,11,288
82,413.69693828799996,1.424376225,413.61587293300005,1.27148056,99.98040465193304,89.26578088594536,12,288
89,413.474779004,1.4236933070000002,413.373361299,1.271025619,99.97547185217819,89.27664495932058,13,288
96,413.123380464,1.422421369,413.01378648,1.2702812129999999,99.97347185146556,89.3041429694663,14,288
103,412.7687432,1.421027097,412.62912624899997,1.269507632,99.9661755030389,89.33732753443758,15,288
110,412.40098889499995,1.419743175,412.264217338,1.268657645,99.9668352984879,89.35824924814307,16,288
