Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,435.08567843599997,1.494957396,435.617521489,1.344553547,100.12223869443643,89.9392551652355,1,291
12,434.115538202,1.490636358,434.641967137,1.3429589100000001,100.12126470689815,90.09299302224588,2,291
19,433.216283118,1.487172121,433.675021386,1.340817804,100.10589128014726,90.1588851126668,3,291
26,432.50225074,1.4843000179999999,432.974055204,1.339637044,100.10908716964889,90.25379153502107,4,291
33,431.84339307399995,1.481597024,432.295253388,1.338523813,100.10463522685471,90.34331139423239,5,291
40,431.255345325,1.479354264,431.800373058,1.343332028,100.12638167593938,90.8052966547572,6,291
47,430.717226161,1.477676787,431.161897809,1.336080183,100.10323981048155,90.4176200610506,7,291
54,430.166047177,1.475645679,430.588354413,1.334802294,100.0981730749722,90.4554740338856,8,291
61,429.579461116,1.473419421,430.042111306,1.333576262,100.10769839619383,90.508937441242,9,291
68,429.17365250800003,1.471866737,429.586706007,1.332651944,100.09624390886675,90.54161701597037,10,291
75,428.75153030800004,1.4702697130000002,429.189184319,1.3317941389999999,100.10207637292525,90.58162099269195,11,291
82,428.35540757399997,1.4688175239999999,428.813187181,1.330990414,100.10686910890017,90.6164579501572,12,291
89,427.950948331,1.46724292,428.39030818500004,1.329900053,100.10266593769998,90.63939139675658,13,291
96,427.484660587,1.4654563399999998,427.983540588,1.329107306,100.11670126369327,90.69579691470032,14,291
103,427.167347099,1.464313245,427.628690975,1.328292256,100.10800073534017,90.71093637481916,15,291
110,426.851527938,1.463247413,427.316878999,1.3268976419999998,100.10901942022979,90.68170086694695,16,291
117,426.524143708,1.461860487,427.017881216,1.326813345,100.11575839616198,90.76196783475959,17,291
124,426.215588689,1.460708849,426.722406146,1.326152356,100.11891105591866,90.78827426203947,18,291
131,425.87694288,1.459467725,426.334878914,1.3249884650000001,100.10752778276823,90.78573251765468,19,291
138,425.576612894,1.458430186,426.019427026,1.3241193519999999,100.10405039153557,90.7907258578917,20,291
145,425.299669063,1.457319055,425.784634332,1.323763949,100.11402907274028,90.83556167458471,21,291
152,425.029486455,1.456370287,425.532903066,1.322958763,100.11844274974868,90.83945029702464,22,291
159,424.726729443,1.455204382,425.19724951499995,1.32234946,100.11078183673936,90.87035995470222,23,291
166,424.433197563,1.4541742,424.91102925399997,1.321362883,100.11258113025643,90.86689084430188,24,291
173,424.231305654,1.453422251,424.680532824,1.3208744849999998,100.10589203672924,90.8802988320288,25,291
180,423.947372974,1.452460338,424.387123858,1.320009263,100.10372770585063,90.88091622643674,26,291
187,423.664051081,1.451360042,424.147816618,1.319317225,100.11418611887547,90.90213226360824,27,291
194,423.48158899099997,1.450707719,423.946401554,1.318823164,100.10975980422371,90.90895062646318,28,291
201,423.216609709,1.449667456,423.70834131000004,1.318353526,100.11618910735524,90.94178948030411,29,291
208,422.979153468,1.448880009,423.410827048,1.317134853,100.10205552128532,90.90710375036998,30,291
215,422.778349825,1.448092961,423.245917704,1.317059797,100.11059409243485,90.95132926345327,31,291
222,422.60214499399996,1.4474134200000002,423.049341441,1.3163891589999999,100.10581972957246,90.94769613231855,32,291
229,422.40203393599995,1.4467163,422.812260318,1.315736887,100.09711752052364,90.9464341419254,33,291
236,422.122454953,1.445685973,422.59107443299996,1.315201061,100.11101505605812,90.9741870339085,34,291
243,421.947234966,1.44506356,422.394251701,1.314509306,100.105941382703,90.96550092232621,35,291
250,421.75098147399996,1.444384683,422.21746914600004,1.313920303,100.11060737081625,90.96747691002759,36,291
257,421.48846547,1.443505796,421.997168286,1.313471376,100.12069198985853,90.99176322254269,37,291
264,421.298963886,1.442864938,421.815141077,1.3128450310000002,100.12252040362,90.98876800068172,38,291
271,421.163884238,1.442264478,421.592459598,1.312264328,100.10175976052065,90.98638620149111,39,291
