Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,386.219003507,1.333404599,387.195182005,1.176251863,100.25275258056594,88.21417474352059,1,288
12,391.046098343,1.3480663149999998,391.79135065500003,1.193097541,100.19057914531253,88.50436567729237,2,288
19,393.17305345200003,1.354225332,393.793159355,1.20140144,100.15771831196354,88.71503224841463,3,288
26,394.325794804,1.3573461999999998,394.98206165399995,1.2070604189999998,100.16642757299866,88.92796981344921,4,288
33,394.96964161799997,1.359114312,395.507752796,1.209828485,100.13624114901481,89.01594768873275,5,288
40,395.516604659,1.360478346,396.09418140800005,1.213095647,100.14603097371804,89.16684712892888,6,288
47,395.792014118,1.361125027,396.3362868,1.2147843900000002,100.13751482156931,89.24855291783568,7,288
54,395.990448799,1.3615938890000001,396.547976071,1.216259668,100.14079311096793,89.3261697063918,8,288
61,396.153597209,1.361971268,396.610464975,1.217214155,100.11532591631598,89.3715002363765,9,288
68,396.205040882,1.361841484,396.64147089299996,1.2180668570000002,100.11015256394225,89.44263126882396,10,288
75,393.895628986,1.353589428,394.60868625399996,1.213495029,100.18102695626136,89.6501556452759,11,288
82,394.869566173,1.356124097,395.419789324,1.217010154,100.13934301301887,89.74179846020391,12,288
89,395.10331659,1.357566712,395.58815631500005,1.216998041,100.12271213746939,89.64554229582495,13,288
96,395.16953544800003,1.357785721,395.628423816,1.217355382,100.11612442934896,89.65740051408304,14,288
103,395.085626297,1.357417771,395.56267142700005,1.217371971,100.1207447444928,89.68292569966655,15,288
110,395.03684108399995,1.357104101,395.511608174,1.217680663,100.12018299070469,89.7264006573067,16,288
117,394.81855632099996,1.356345067,395.288535267,1.2171106500000002,100.11903669127899,89.734587430029,17,288
