Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,408.47272253299997,1.4145067400000002,408.124766001,1.236252588,99.91481523421143,87.39814049949311,1,288
12,399.90738852799996,1.381515704,399.40549330299996,1.2184480580000001,99.87449713623762,88.19646815972786,2,288
19,387.31373729300003,1.3364092699999999,386.862154329,1.186197942,99.88340641693833,88.76008036071165,3,288
26,374.44194289999996,1.290648092,374.01706422399997,1.150536394,99.88653015933275,89.14408204153607,4,288
33,361.993241565,1.247027199,361.593662208,1.113637868,99.88961690133426,89.30341446385727,5,288
40,349.989552661,1.20530778,349.545468708,1.077001141,99.87311508311501,89.35486511171446,6,288
47,338.191840836,1.164469381,337.68941234700003,1.040243086,99.85143683899707,89.33193976355828,7,288
54,326.25103754400004,1.123623636,325.852004621,1.003096911,99.87769144705135,89.27339002683635,8,288
61,314.66790424100003,1.083657463,314.314700107,0.966872467,99.88775336497952,89.22307094377479,9,288
68,303.298478419,1.0450447170000001,302.95450282,0.930777235,99.88658841917275,89.06578061769197,10,288
75,292.034477602,1.0066408599999999,291.659566463,0.89501359,99.87162093254244,88.91091406720766,11,288
82,280.791277166,0.9684862209999999,280.57054317999996,0.859682275,99.92138858862431,88.76556592744753,12,288
89,270.779058292,0.934046281,270.465703755,0.827906234,99.88427667228899,88.63653234758718,13,288
96,260.299085747,0.898279475,259.976363235,0.794493714,99.87601857644877,88.44616136865422,14,288
103,249.142340809,0.860517038,248.84291967800002,0.7589146170000001,99.87981925110454,88.19286353281944,15,288
110,0.000171672,3.433e-06,2.6702999999999998e-05,0.0,15.554662379421222,0.0,16,288
117,0.000168917,3.378e-06,1.102e-05,0.0,6.5239141116643085,0.0,17,288
124,0.000164043,3.281e-06,1.3352e-05,0.0,8.139329322189914,0.0,18,288
131,0.000175275,3.505e-06,2.2676e-05,0.0,12.937384110683215,0.0,19,288
138,0.000172944,3.459e-06,1.6530999999999998e-05,0.0,9.558585438060875,0.0,20,288
145,0.000173368,3.467e-06,1.3776e-05,0.0,7.946103087074893,0.0,21,288
