Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,411.532333672,1.410504283,411.430328714,1.273823392,99.97521337944704,90.30978546840754,1,291
12,411.214306822,1.408535052,411.01873723,1.273148615,99.95244095627133,90.38813859777484,2,291
19,410.544395483,1.405702588,410.29100592000003,1.271687783,99.9382796195033,90.46634713885865,3,291
26,410.11842101800005,1.4039105520000001,409.87066375300003,1.270750939,99.93958884743948,90.51509280200922,4,291
33,409.592727778,1.401830135,409.359942408,1.269913427,99.94316662523214,90.5896795405957,5,291
40,408.997951861,1.399627314,408.78906595800004,1.26852517,99.94892739632326,90.63306762531501,6,291
47,408.604916113,1.398170072,408.376312611,1.267587716,99.94405267949914,90.66048125224067,7,291
54,408.175698894,1.396663301,408.014641161,1.266825906,99.96054205739429,90.70374406580044,8,291
61,407.770058766,1.395096583,407.62420243400004,1.2659448510000002,99.96423074012807,90.74245227364307,9,291
68,407.448698674,1.394016025,407.319130928,1.265245895,99.96820023074766,90.76265066608542,10,291
75,407.15322763300003,1.392941855,406.939487534,1.264209915,99.94750376897598,90.75826894439898,11,291
82,406.825004368,1.3918281479999999,406.62529854400003,1.2633057639999998,99.95091112349148,90.76593010533078,12,291
89,406.53873854,1.390821841,406.310703504,1.262524358,99.94390816559844,90.77541930835986,13,291
96,406.296118607,1.389974323,406.047306718,1.261821713,99.93876094857784,90.78021745585872,14,291
103,406.07592625,1.38930418,405.818790575,1.2612787380000001,99.93667793179108,90.78492357231661,15,291
110,405.85265602699997,1.388340205,405.587224109,1.26074081,99.93459894519397,90.80921271742612,16,291
117,405.60423490700003,1.387465619,405.388849828,1.26023034,99.94689772431754,90.82966256910181,17,291
124,405.36803944099995,1.386667022,405.181605184,1.259673322,99.95400864427864,90.84180282755726,18,291
131,405.147406275,1.3858639560000001,404.94575983,1.259013021,99.95022886932587,90.84679744712257,19,291
138,404.91847834,1.385193291,404.754861199,1.258361768,99.95959257239365,90.8437671605789,20,291
145,404.802705387,1.384760277,404.62957487799997,1.258072304,99.95723089132161,90.85127042534307,21,291
152,404.61550282800005,1.3841874500000002,404.416790142,1.257322126,99.95088851400622,90.83467170577221,22,291
159,404.462404607,1.383659515,404.236156386,1.2568029539999999,99.94406198983566,90.83180799721526,23,291
166,404.21303403900004,1.382820551,403.951423454,1.255922797,99.93527903284416,90.82326669876053,24,291
173,404.130743193,1.38259839,403.846433964,1.2555199449999999,99.92964919551686,90.80872320414028,25,291
180,403.96372874300005,1.3820288319999998,403.71304806899997,1.255365932,99.93794475687703,90.83500307177384,26,291
187,403.75921651799996,1.381951849,403.544661147,1.254426238,99.9468605638652,90.7720655323643,27,291
194,403.528354932,1.380566371,403.311018612,1.253956954,99.94614100413423,90.82916840077078,28,291
201,403.405044017,1.380083123,403.205147914,1.253655986,99.95044779286607,90.83916505513271,29,291
208,403.233339963,1.379564676,403.01160692499997,1.253025696,99.94501123393707,90.82761524694185,30,291
215,403.092598372,1.3791266009999998,402.903760816,1.2526687619999999,99.9531528098599,90.83058517555199,31,291
222,402.880876896,1.3784090130000002,402.670952643,1.2519607819999998,99.94789421264733,90.82650869172745,32,291
229,402.77389292500004,1.3781075680000001,402.547917874,1.251506841,99.94389530826862,90.81343648785477,33,291
236,402.620549713,1.377739697,402.40770038200003,1.250959186,99.9471340121234,90.79793437932709,34,291
243,402.42328488600003,1.376792243,402.273379665,1.250640314,99.96274936698991,90.83725742635521,35,291
250,402.308093257,1.3766640940000001,402.118605494,1.250134049,99.95289983816484,90.80893839307178,36,291
