Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,424.29559592,1.459180439,425.12279863699996,1.3142845520000002,100.19495906272758,90.07005006870162,1,291
12,421.094231868,1.446833819,421.814326959,1.305898667,100.17100568863306,90.25906429962983,2,291
19,417.011649111,1.432051484,417.647134902,1.2946046109999998,100.15239041699549,90.40209974741381,3,291
26,412.82325626200003,1.417071526,413.49620532899996,1.282915022,100.16301142360373,90.53283468487392,4,291
33,408.883035947,1.4030525660000002,409.49054228100005,1.271703845,100.14857704541178,90.63836065854142,5,291
40,405.040288357,1.389555223,405.63493729099997,1.260326228,100.14681229277514,90.69997414561193,6,291
47,401.39867481000005,1.3766428210000001,401.990406536,1.249588781,100.14741745878459,90.77073311523846,7,291
54,397.90330966700003,1.3644968910000002,398.49528131,1.2391167490000001,100.14877273664683,90.81125484220689,8,291
61,394.531620809,1.352631237,395.128871238,1.2290029390000001,100.15138214467456,90.86016242873445,9,291
68,391.15438020799996,1.340781041,391.698437693,1.2186130720000001,100.13909021924047,90.88829829299473,10,291
75,387.809690491,1.329118542,388.353400842,1.208313996,100.14020030038743,90.91092764244951,11,291
82,384.537882743,1.317705548,385.02934408600004,1.198028033,100.12780570265127,90.91773460454459,12,291
89,381.162787728,1.30589189,381.698506597,1.187811409,100.14054857563437,90.95786704058634,13,291
96,377.785081089,1.2943450639999998,378.318197236,1.177101933,100.1411162519873,90.94189530590278,14,291
103,374.317741681,1.2823733149999998,374.833652014,1.166106994,100.13782684483058,90.9335043360599,15,291
110,370.759424171,1.270084217,371.297589363,1.15507231,100.14515212747548,90.94454482147147,16,291
117,367.242842204,1.2579762760000002,367.71266012399997,1.14371657,100.12793113057843,90.91718117583959,17,291
124,363.564460983,1.2453334950000001,364.062633555,1.132199268,100.13702455147929,90.91534697699589,18,291
131,359.75645733700003,1.232485774,360.24397169400004,1.1199304509999999,100.13551232981577,90.86761686224541,19,291
138,355.820996343,1.2189250470000002,356.26256410400003,1.107336165,100.12409828693032,90.84530404271854,20,291
145,351.710567565,1.205147419,352.184426379,1.094086649,100.1347297629641,90.78446601228626,21,291
152,347.364398548,1.1903286780000002,347.817759412,1.0802093750000001,100.13051448734961,90.74883223136122,22,291
159,342.845110836,1.175027616,343.31818763,1.0657110349999999,100.13798557396558,90.69667984722496,23,291
166,338.230616577,1.1594114199999999,338.657503467,1.05072561,100.12621178245786,90.62577717235182,24,291
173,333.378737704,1.1430067229999998,333.8088576,1.0350721719999998,100.12901839480296,90.55696271700756,25,291
180,328.216243637,1.1256310360000001,328.620116961,1.0182961640000001,100.12305098599772,90.46447116619836,26,291
187,322.841667167,1.10747483,323.257157695,1.000993555,100.12869792540906,90.38521940945601,27,291
194,317.284274053,1.088810093,317.61746357100003,0.982719034,100.10501293169808,90.25623846784087,28,291
201,311.203102284,1.068777598,311.51681514899997,0.962648516,100.10080647098229,90.07004991509936,29,291
208,304.651236306,1.0462976350000002,304.985903835,0.941675439,100.10985267385027,90.00072326456132,30,291
215,297.855571841,1.023441164,298.147751477,0.9193490150000001,100.09809439997849,89.82920047956954,31,291
222,290.58366820599997,0.998990372,290.843292935,0.895446854,100.08934594659186,89.63518359113876,32,291
229,282.749046589,0.972583657,282.97842306800004,0.869771956,100.08112369670816,89.42901206903582,33,291
236,274.412082911,0.944627169,274.61760763399997,0.842461892,100.07489638241134,89.1845925723104,34,291
243,265.497934002,0.914548143,265.662194517,0.813298619,100.06186884866635,88.92901103403148,35,291
250,255.828267882,0.88189976,255.94675239199998,0.781673186,100.04631408052789,88.63515123306077,36,291
257,245.307988418,0.846307008,245.395864177,0.747439654,100.03582262427193,88.31779093574515,37,291
264,234.01086747,0.807906021,234.05819513499998,0.710920327,100.02022455859066,87.99542378952019,38,291
271,222.053378,0.767149943,222.08851116300002,0.672524158,100.01582194484789,87.665281622787,39,291
278,209.406541434,0.724056921,209.419625736,0.631881442,100.00624827758982,87.26958111626143,40,291
285,196.159116534,0.678792709,196.16490850899999,0.589455282,100.00295269223389,86.83877628390967,41,291
292,182.517789512,0.6319976869999999,182.506176035,0.546074528,99.9936370711967,86.40451369246863,42,291
