Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,418.5198869,1.446488263,415.8335976,1.279935425,99.35814536,88.48571107,1,291
12,404.6666083,1.395132671,402.2341543,1.242619639,99.39889927,89.06820583,2,291
19,391.1201699,1.346702405,388.928057,1.203660233,99.43952958,89.37833842,3,291
26,379.1900144,1.304671251,377.0647628,1.167840775,99.43952859,89.51226404,4,291
33,368.3396478,1.266667442,366.3232331,1.134908895,99.45256648,89.59801581,5,291
40,358.1032881,1.230947817,356.21187,1.103582547,99.47182331,89.65307317,6,291
47,348.4354916,1.197395211,346.5659626,1.073444497,99.46345046,89.64830385,7,291
54,338.8195127,1.164178789,337.0402694,1.043432526,99.47486989,89.6282028,8,291
61,329.2861535,1.131467395,327.5826999,1.013506135,99.48268289,89.5744888,9,291
68,319.8794065,1.099205909,318.214224,0.983807086,99.47943429,89.50161912,10,291
75,310.4662984,1.066911377,308.8898776,0.95427028,99.49224093,89.44231926,11,291
82,300.9837729,1.03467235,299.4567486,0.924149495,99.49265559,89.31808171,12,291
89,291.5565019,1.002314336,290.097701,0.894481156,99.49965073,89.2415806,13,291
96,281.7858827,0.969095199,280.3562838,0.86342413,99.49266484,89.09590419,14,291
103,271.9446651,0.935372694,270.56379,0.832424206,99.49222202,88.99385361,15,291
110,261.9123677,0.901338471,260.5851755,0.800516193,99.49326861,88.81416014,16,291
117,251.6213402,0.866388186,250.3538767,0.767883916,99.49628141,88.63046939,17,291
124,241.271318,0.831391766,240.0299277,0.734849261,99.48547956,88.38784446,18,291
131,230.6679588,0.795356227,229.4870138,0.701251159,99.48803248,88.16818618,19,291
138,219.7882194,0.758562497,218.6616219,0.666585968,99.48741681,87.87489108,20,291
145,208.4523804,0.720138462,207.3380124,0.630385471,99.46540885,87.5367036,21,291
152,196.4504634,0.679324721,195.3531368,0.592146037,99.44142326,87.16686125,22,291
159,183.5116179,0.635303972,182.4392445,0.550890559,99.41563731,86.71290961,23,291
166,169.2099419,0.586332381,168.1728884,0.505587653,99.38712027,86.22884722,24,291
173,152.3684872,0.528327167,151.370343,0.452348489,99.34491428,85.61900982,25,291
180,131.3170592,0.455091971,130.3859928,0.386518621,99.29097834,84.93197983,26,291
